Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.9,1.84,3.55,4,5,5.45455,5.9,7,8.26,11,13.5,16.8,17.6,17.0485
Africa Eastern and Southern,AFE,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.7,3,3.5,5.3,6.8,8.4,10,12.1,14.3,16.3,17.3,19.6,21.6,23.5
Africa Western and Central,AFW,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.3,5,5.8,7.3,8.7,10.3,12.6,15,18.6,20.9,23.8,25.7,28.5,31.5
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,15.0361,23.86,41.2,45,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.5504,72.2377
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,9.45119,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.9455,47.6911,49.0385,55.7907,63.4727
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.87,70.04,78.53,81,81,82.7,84.4,86.1,87.9,89.7,91.5675,..,90.7187,93.2056
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.7,1.9,2.3,2.8,4.7,7.7,13,21.3623,22,23.2,26,29,32.1294,36.6347
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,34,38,42,47,52,58,63.4,67.78,70,70.9743,71.9621,72.9637,73.9792,75.0089
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,25.9466,28.1126,34,45,51,55.8,59.9,64.7,68.0431,70.969,74.2949,77.7,79.947,85.5144
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.02125,6.21,15.3,25,32,37.5,41.9,54.6228,59.1008,64.346,64.7449,68.2451,66.5439,76.5077
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,30.9,52,58,62,69,74,78.9,83.78,88.6612,93.5425,97.17,..,..,..
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.45,71.67,74.25,76,79.4877,79,83.4535,84,84.5605,86.54,86.545,90,93.6099,94.6935
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.37,72.87,73.45,75.17,78.74,80.03,80.6188,80.9958,83.9401,84.3237,87.9356,87.4791,87.7522,87.5294
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.54,17.08,27.4,46,50,54.2,73,75,77,78.2,79,79.8,81.1,84.6
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,27,31.54,33.88,43,65,71.7482,72,76.92,78,80,80.6,83,90.6933,92.4437
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,32.91,51.95,53,55,77,88,90,90.5031,93.4783,98,95.8781,98.6447,99.7015,99.671
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.8,2.5,3.1,3.7,4.5,5,6.63,11.9,12.9,18.1,21.5,25.6,30.4,36.1091
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,58.2,61.4,64.7,65.1,66.5,71.2,71.8,71.9,72,72.2,72.3,72.4,74.1791,76.002
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,19.7,23,27.43,31.8,39.6489,46.91,54.17,59.0163,62.2304,71.113,74.4364,79.1299,82.7892,85.0879
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,66.7604,68.8573,74.5441,77.6398,81.61,80.72,82.1702,85.0012,85.0529,86.5165,87.6797,88.6473,90.2754,91.5264
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,41.59,44.5757,48.8771,53.5936,58.7652,64.4359
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.79,1.85,2.24,3.13,4.14832,4.5,4.9,6,11.255,14.5,18.7,19,20.5,22.1206
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.3506,82.3,83.25,84.21,88.336,91.2993,95.3,96.8,98.3236,98,98.37,..,..,..
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,46.5,54.3,63.5,74.1794,76.8508
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.4992,12.5,16.8,22.4,30,35.34,36.99,34.6016,37.4868,39.6975,43.8323,44.2861,47.4748,59.9401
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,27.92,34.66,37.74,42.75,43.8877,45.0645,48.5213,49.9177,52.6,60.2565,64.892,70.1201,69.9463,73.2118
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.28,6.25,6.15,6,9,16,30,36.7447,37.3121,42.2576,47.8587,54.2022,61.3865,69.523
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.551,58.328,60.8725,67.4713,70.4343,73.9124,81.3427
British Virgin Islands,VGB,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,36,37,37.4,37.6,..,..,..,77.7014,77.7043,..,..,..
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,44.68,46,49,53,56,60.2731,64.5,68.77,71.2,90,94.8667,95,95,96.3055
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,33.64,39.67,45,46.23,47.98,51.9,53.0615,55.4904,56.6563,59.8255,63.4101,64.782,67.947,70.1625
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.75,0.92,1.13,2.4,3,3.72503,5,6,6.55,7.14,7.79,8.5,9.27181,10.7927
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.7,0.81,0.9,1,1.11,1.22,1.26422,1.04239,2,2.2,2.66075,4,6.1,9.17302
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.28322,14,21,30,32,34.74,37.5,40.26,42.683,50.3228,57.1621,59.5,61.9434,69.3734
Cambodia,KHM,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.49,0.51,0.53,1.26,3.1,4.94,6,14,6.43319,32.3985,32.9003,..,52.3059,53.6508
