,"Principal Figures(2008SNA)",
,,,,,,,,,,,,,,,""
"Period","Population (Mid-Year,Persons)","Exchange Rate (N.T.$ per U.S.$)","GDP Growth Rate (%)","GDP (Million N.T.$,at Current Prices)","GDP (Million U.S.$,at Current Prices)","Per Capita GDP ( N.T.$,at Current Prices )","Per Capita GDP ( U.S.$,at Current Prices )","GNI (Million N.T.$,at Current Prices)","GNI (Million U.S.$,at Current Prices)","Per Capita GNI ( N.T.$,at Current Prices )","Per Capita GNI ( U.S.$,at Current Prices )","NI (Million N.T.$,at Current Prices)","NI (Million U.S.$,at Current Prices)","Per Capita NI ( N.T.$,at Current Prices)","Per Capita NI ( U.S.$,at Current Prices )"
"2007",22917444,32.84,6.85,13363917,406940,583133,17757,13689358,416850,597334,18189,11540037,351402,503548,15333
"2008",22997696,31.54,0.80,13115096,415824,570279,18081,13420912,425520,583576,18503,11097384,351851,482543,15299
"2009",23078402,33.06,-1.61,12919445,390788,559807,16933,13321803,402958,577241,17460,10922061,330371,473259,14315
"2010",23140948,31.65,10.25,14060345,444245,607596,19197,14476060,457379,625560,19765,12131269,383294,524234,16563
"2011",23193518,29.47,3.67,14262201,483957,614922,20866,14634307,496583,630965,21410,12227309,414907,527186,17889
"2012",23270367,29.62,2.22,14677765,495536,630749,21295,15109951,510127,649322,21922,12496672,421900,537021,18130
"2013",23344670,29.77,2.48,15270728,512957,654142,21973,15673232,526477,671384,22552,13194356,443210,565198,18985
"2014",23403635,30.37,4.72,16258047,535332,694680,22874,16697152,549791,713443,23492,14212193,467968,607264,19996
"2015",23462914,31.91,1.47,17055080,534474,726895,22780,17494741,548253,745634,23367,14860645,465705,633367,19849
"2016",23515945,32.33,2.17,17555268,543002,746526,23091,18006409,556957,765711,23684,15305453,473413,650854,20132
"2017",23555522,30.44,3.66,18012387,591734,764678,25121,18459748,606431,783670,25745,15732712,516843,667899,21941
"2018",23580080,30.16,2.91,18420039,610744,781169,25901,18868140,625601,800173,26531,15991520,530223,678179,22486
"2019",23596027,30.93,3.06,18974097,613453,804123,25998,19529545,631411,827662,26759,16366644,529151,693619,22425
"2020",23582179,29.58,3.42,20023752,676935,849105,28705,20682033,699190,877020,29649,17337957,586138,735214,24855


"Footnote¡G"
"1.2025 preliminary"
"2.2025Q3 revised, 2025Q4 preliminary"
""
