"Name","rivals","attacker","attacker_is_nato","victim","victim_is_nato","3rdpartyinitiator","interactionstartdate","interactionenddate","Year","duration_days","period_2016","method","targettype","cyber_objective","information_operation","objective_achievement","Concession","severity","damage type","Crit Inf","Supply Ch","Ransomware","Sources1","Sources2","Sources3","Sources4","Sources5","Political Objective","Justice","Cert","FBI"
"Regin malware campaign","Russia-US","United States of America","Yes","Russia","No","Yes",2008-02-01,2011-03-01,2008,1124,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Government non-military","Long-term espionage","No","Yes","No",4,"Direct and delayed","Information Technology Sector","Yes","No","https://www.symantec.com/content/dam/symantec/docs/security-center/white-papers/regin-top-tier-espionage-tool-15-en.pdf","https://www.zdnet.com/article/infamous-regin-malware-linked-to-spy-tools-used-by-nsa-five-eyes-intelligence/","https://www.spiegel.de/international/world/regin-malware-unmasked-as-nsa-tool-after-spiegel-publishes-source-code-a-1015255.html",NA,NA,"Publically available sources claim that Reign malware sophisticated NSA backdoor, known to have infected Russian government networks and steal sensitive information",NA,NA,NA
"QWERTY keystroke log","Russia-US","United States of America","Yes","Russia","No","Yes",2008-02-01,2011-03-11,2008,1134,"Before July 2016","Network Infiltration (Keystroke logging)","Government non-military","Short-term espionage","No","Yes","No",4,"Direct and delayed","Communications Sector","Yes","No","https://www.csoonline.com/article/2875739/microsoft-subnet/researchers-link-qwerty-keylogger-code-to-nsa-and-five-eyes-regin-espionage-malware.html","https://www.zdnet.com/article/infamous-regin-malware-linked-to-spy-tools-used-by-nsa-five-eyes-intelligence/","https://www.networkworld.com/article/2876113/link-between-nsa-and-regin-cyberespionage-malware-becomes-clearer.html",NA,NA,"Publically available sources claim that Part of the Reign campaign, this sophisticated keystroke program was able to steal passwords and access secure networks",NA,NA,NA
"Duke Series_A","Russia-US","Russia","No","United States of America","Yes","No",2008-04-08,2015-09-17,2008,2718,"Before July 2016","Network Infiltration (Viruses)","Government non-military","Long-term espionage","No","Yes","No",4,"Direct and delayed","Government Facilities Sector","Yes","No","https://www.f-secure.com/documents/996508/1030745/dukes_whitepaper.pdf",NA,NA,NA,NA,"Access networks of geopolitical interest to Russia",NA,NA,NA
"US govt employee in Georgia hacked","Russia-US","Russia","No","United States of America","Yes","No",2008-08-06,2008-08-12,2008,6,"Before July 2016","Network Infiltration (Viruses)","Government non-military","Disruption","Yes","Yes","No",3,"Direct and immediate","Information Technology Sector","No","No","http://www.ismlab.usf.edu/isec/files/Georgia-Cyber-Attack-NATO-Aug-2008.pdf","https://www.wired.com/2008/08/georgia-under-o/",NA,NA,NA,"To distract US diplomats in Tiblisi during the Five Day Russo-Georgian War of 2008.",NA,NA,NA
"Agent.bz/CENTCOM","Russia-US","Russia","No","United States of America","Yes","No",2008-10-01,2008-10-15,2008,14,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Government military","Long-term espionage","No","Yes","No",4,"Direct and immediate","Defense Industrial Base Sector","No","No","https://www.wired.com/2010/08/insiders-doubt-2008-pentagon-hack-was-foreign-spy-attack/",NA,NA,NA,NA,"Retaliation for the US missile defense system in Europe; penetrate US defense networks",NA,NA,NA
"Buckshot Yankee","Russia-US","United States of America","Yes","Russia","No","No",2008-11-26,2008-11-28,2008,2,"Before July 2016","Network Infiltration (Viruses)","Government non-military","Degrade","No","Yes","Yes",4,"Direct and immediate","Government Facilities Sector","No","No","http://www.washingtonpost.com/wp-dyn/content/article/2010/08/24/AR2010082406495.html, https://apps.dtic.mil/sti/citations/ADA527707, https://www.washingtonpost.com/world/national-security/key-players-in-operation-buckshot-yankee/2011/12/08/gIQASJaSgO_story.html",NA,NA,NA,NA,"Publically available sources claim that Defensive measure to deter further attempts to steal sensitive information from the Pentagon through raising the potential costs incurred by US retaliation.",NA,NA,NA
"Sandworm_A","Russia-US","Russia","No","United States of America","Yes","No",2009-01-01,2014-10-14,2009,2112,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Government non-military","Long-term espionage","No","Yes","No",4,"Direct and delayed","Chemical Sector","No","No","https://www.wired.com/story/russian-hacking-teams-infrastructure/","https://news.sky.com/story/russia-cyber-attacks-what-we-know-so-far-11517151",NA,NA,NA,"Network intrusion (zero day exploit)",NA,NA,NA
"Power grid hacked, traced to Russia","Russia-US","Russia","No","United States of America","Yes","Yes",2009-08-24,2009-08-24,2009,0,"Before July 2016","Network Infiltration (Viruses)","Private/non-state","Degrade","No","No","No",1,"Direct and immediate","Energy Sector","Yes","No","https://www.bbc.com/news/technology-44937787","https://www.nytimes.com/2018/07/27/us/politics/russian-hackers-electric-grid-elections-.html",NA,NA,NA,"To seek a potential vulnerability, or weak point, in the US power grid to exploit, Capability demonstration",NA,NA,NA
"Russian Info Swipe_A","Russia-US","Russia","No","United States of America","Yes","No",2011-01-01,2014-07-01,2011,1277,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Short-term espionage","No","Yes","No",3,"Direct and delayed","Energy Sector","Yes","No","https://www.symantec.com/blogs/threat-intelligence/dragonfly-energy-sector-cyber-attacks",NA,NA,NA,NA,"Russia hacks and steals sensitive information from defense contractors in US and Canada and multiple oil company Exxon Mobi and UK's BP",NA,NA,NA
"Yahoo breach 2","Russia-US","Russia","No","United States of America","Yes","No",2013-08-01,2016-12-15,2013,1232,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Long-term espionage","No","Yes","No",3,"Direct and delayed","Information Technology Sector","No","No","https://www.nytimes.com/2017/10/03/technology/yahoo-hack-3-billion-users.html","https://www.wired.com/story/yahoo-breach-three-billion-accounts/",NA,NA,NA,"3 billion PII stolen, separate from 2014 breach",NA,NA,NA
