"Cyberincidentnum","Dyadpair","StateA","StateB","Name","interactionstartdate","interactionenddate","method","targettype","initiator","cyber_objective","information_operation","objective_achievement","Concession","3rdpartyinitiator","severity","damage type","Crit Inf","Supply Ch","Ransomware","Political Objective","Sources1","Sources2","Sources3","Sources4","Sources5","Justice","Cert","FBI"
1,2365,"US","Russia","Regin malware campaign",2008-02-01,2011-03-01,3,2,2,3,0,1,0,1,4,2,13,1,0,"Publically available sources claim that Reign malware sophisticated NSA backdoor, known to have infected Russian government networks and steal sensitive information","https://www.symantec.com/content/dam/symantec/docs/security-center/white-papers/regin-top-tier-espionage-tool-15-en.pdf","https://www.zdnet.com/article/infamous-regin-malware-linked-to-spy-tools-used-by-nsa-five-eyes-intelligence/","https://www.spiegel.de/international/world/regin-malware-unmasked-as-nsa-tool-after-spiegel-publishes-source-code-a-1015255.html",NA,NA,NA,NA,NA
2,2365,"US","Russia","QWERTY keystroke log",2008-02-01,2011-03-11,4.4,2,2,2,0,1,0,1,4,2,3,1,0,"Publically available sources claim that Part of the Reign campaign, this sophisticated keystroke program was able to steal passwords and access secure networks","https://www.csoonline.com/article/2875739/microsoft-subnet/researchers-link-qwerty-keylogger-code-to-nsa-and-five-eyes-regin-espionage-malware.html","https://www.zdnet.com/article/infamous-regin-malware-linked-to-spy-tools-used-by-nsa-five-eyes-intelligence/","https://www.networkworld.com/article/2876113/link-between-nsa-and-regin-cyberespionage-malware-becomes-clearer.html",NA,NA,NA,NA,NA
3,2365,"US","Russia","Duke Series_A",2008-04-08,2015-09-17,4.2,2,365,3,0,1,0,0,4,2,11,1,0,"Access networks of geopolitical interest to Russia","https://www.f-secure.com/documents/996508/1030745/dukes_whitepaper.pdf",NA,NA,NA,NA,NA,NA,NA
4,2365,"US","Russia","US govt employee in Georgia hacked",2008-08-06,2008-08-12,4.2,2,365,1,1,1,0,0,3,1,13,0,0,"To distract US diplomats in Tiblisi during the Five Day Russo-Georgian War of 2008.","http://www.ismlab.usf.edu/isec/files/Georgia-Cyber-Attack-NATO-Aug-2008.pdf","https://www.wired.com/2008/08/georgia-under-o/",NA,NA,NA,NA,NA,NA
5,2365,"US","Russia","Agent.bz/CENTCOM",2008-10-01,2008-10-15,3,3,365,3,0,1,0,0,4,1,6,0,0,"Retaliation for the US missile defense system in Europe; penetrate US defense networks","https://www.wired.com/2010/08/insiders-doubt-2008-pentagon-hack-was-foreign-spy-attack/",NA,NA,NA,NA,NA,NA,NA
7,2365,"US","Russia","Sandworm_A",2009-01-01,2014-10-14,3,2,365,3,0,1,0,0,4,2,1,0,0,"Network intrusion (zero day exploit)","https://www.wired.com/story/russian-hacking-teams-infrastructure/","https://news.sky.com/story/russia-cyber-attacks-what-we-know-so-far-11517151",NA,NA,NA,NA,NA,NA
8,2365,"US","Russia","Power grid hacked, traced to Russia",2009-08-24,2009-08-24,4.2,1,365,4,0,0,0,1,1,1,8,1,0,"To seek a potential vulnerability, or weak point, in the US power grid to exploit, Capability demonstration","https://www.bbc.com/news/technology-44937787","https://www.nytimes.com/2018/07/27/us/politics/russian-hackers-electric-grid-elections-.html",NA,NA,NA,NA,NA,NA
9,2365,"US","Russia","Russian Info Swipe_A",2011-01-01,2014-07-01,3,1,365,2,0,1,0,0,3,2,8,1,0,"Russia hacks and steals sensitive information from defense contractors in US and Canada and multiple oil company Exxon Mobi and UK's BP","https://www.symantec.com/blogs/threat-intelligence/dragonfly-energy-sector-cyber-attacks",NA,NA,NA,NA,NA,NA,NA
10,2365,"US","Russia","Yahoo breach 2",2013-08-01,2016-12-15,3,1,365,3,0,1,0,0,3,2,13,0,0,"3 billion PII stolen, separate from 2014 breach","https://www.nytimes.com/2017/10/03/technology/yahoo-hack-3-billion-users.html","https://www.wired.com/story/yahoo-breach-three-billion-accounts/",NA,NA,NA,NA,NA,NA
11,2365,"US","Russia","Operation Pawn Storm/World Doping Agency",2013-09-30,2014-10-22,3,2,365,2,1,1,0,0,4,2,11,0,0,"Trojan campaign against Blackwater, State Dept, and SAIC","https://www.trendmicro.com/vinfo/us/security/news/cyber-attacks/operation-pawn-storm-fast-facts","https://blog.trendmicro.com/trendlabs-security-intelligence/tag/operation-pawn-storm/",NA,NA,NA,NA,NA,NA
