Cyberincidentnum,Dyadpair,StateA,StateB,Name,interactionstartdate,interactionenddate,method,targettype,initiator,cyber_objective,information_operation,objective_achievement,Concession,3rdpartyinitiator,severity,damage type,Crit Inf,Supply Ch,Ransomware,Political Objective,Sources1,Sources2,Sources3,Sources4,Sources5,Justice,Cert,FBI,exclusion_reason
6,2365,US,Russia,Buckshot Yankee,2008-11-26T00:00:00Z,2008-11-28T00:00:00Z,4.2,2,2,4,0,1,1,0,4,1,11,0,0,Publically available sources claim that Defensive measure to deter further attempts to steal sensitive information from the Pentagon through raising the potential costs incurred by US retaliation.,"http://www.washingtonpost.com/wp-dyn/content/article/2010/08/24/AR2010082406495.html, https://apps.dtic.mil/sti/citations/ADA527707, https://www.washingtonpost.com/world/national-security/key-players-in-operation-buckshot-yankee/2011/12/08/gIQASJaSgO_story.html",NA,NA,NA,NA,NA,NA,NA,ACD (cyber-to-cyber retaliation)
48,2630,US,Iran,Stuxnet .5_A,2007-11-01T00:00:00Z,2010-06-01T00:00:00Z,4.3,3,2,3,0,1,0,1,3,2,14,1,0,Publically available sources claim that Intrusion in the Natanz plant gathering vulnerablity information,https://www.symantec.com/connect/blogs/stuxnet-05-disrupting-uranium-processing-natanz,NA,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
50,2630,US,Iran,Stuxnet_A,2009-06-01T00:00:00Z,2010-10-01T00:00:00Z,4.3,3,2,4,0,1,1,1,6,2,14,1,0,"Publically available sources claim that Spohisticated worm that infiltrated Iran's nuclear facilities and caused centrifuge damage, coercive measure to discourage Iranian nuclear program",https://www.symantec.com/connect/blogs/updated-w32stuxnet-dossier-available,https://www.csoonline.com/article/3218104/malware/what-is-stuxnet-who-created-it-and-how-does-it-work.html,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
51,2630,US,Iran,Flame_A,2009-06-01T00:00:00Z,2012-12-02T00:00:00Z,4.2,3,2,3,0,1,0,1,3,2,11,1,0,Publically available sources claim that To steal and collect key information of the Iranian networks and systems that have been infected.,https://www.wired.com/2012/05/flame/,https://www.washingtonpost.com/blogs/blogpost/post/flame-faq-all-you-need-to-know-about-the-virus/2012/06/20/gJQAAlrTqV_blog.html,https://www.npr.org/2012/06/02/154188937/flame-sheds-light-on-politics-of-cyberwarfare,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
52,2630,US,Iran,Twitter Hack,2009-12-18T00:00:00Z,2009-12-18T00:00:00Z,1,1,630,1,1,0,0,0,2,1,17,0,0,Defacement of many Iranian anti-regime Twitter accounts to limit coordinated protest action,https://techcrunch.com/2009/12/17/twitter-reportedly-hacked-by-iranian-cyber-army/,https://www.businessinsider.com/twitter-hacked-by-iranian-cyber-army-2009-12,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
57,2630,US,Iran,Operation Ababil,2012-12-28T00:00:00Z,2013-01-02T00:00:00Z,2,1,630,1,1,0,0,0,2,1,9,0,0,DDoS campaign to flood the networks of several US banks,https://www.nytimes.com/2013/01/09/technology/online-banking-attacks-were-work-of-iran-us-officials-say.html,https://www.tomsguide.com/us/bank-attack-indictments,news-22467.html,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
58,2630,US,Iran,Iranian Attacks against Universities US Pre17,2013-01-01T00:00:00Z,2017-12-01T00:00:00Z,3,1,630,3,0,1,0,0,4,4,17,0,0,"Hacking group posing as the Mabna Institute, password spraying",https://carnegieendowment.org/specialprojects/protectingfinancialstability/timeline#click-hide,https://www.fbi.gov/wanted/cyber/iranian-mabna-hackers,NA,NA,NA,https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary,NA,https://www.fbi.gov/wanted/cyber/iranian-mabna-hackers,Kinetic conflict (MID hostility >= 4)
59,2630,US,Iran,Bowman Ave Dam,2013-08-28T00:00:00Z,2013-09-18T00:00:00Z,3,1,630,1,0,1,0,0,3,2,5,1,0,"Remote breach of SCADA system of NY dam, signaling capability operation",https://www.nytimes.com/2016/03/26/nyregion/rye-brook-dam-caught-in-computer-hacking-case.html,NA,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
60,2630,US,Iran,NMCI hack,2013-09-23T00:00:00Z,2013-09-25T00:00:00Z,3,3,630,2,0,1,0,0,1,2,11,0,0,Navy and Marine Corps unclassified intranet briefly breached,https://arstechnica.com/information-technology/2014/02/iranians-hacked-navy-network-for-4-months-not-a-surprise/,https://www.wsj.com/articles/us-says-iran-hacked-navy-computers-1380314771,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
61,2630,US,Iran,Saffron Rose,2013-10-23T00:00:00Z,2014-03-15T00:00:00Z,3,1,630,2,0,0,0,0,1,2,6,1,0,Information theft campaign on US Aerospace industry,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-operation-saffron-rose.pdf,https://securityaffairs.co/wordpress/24923/cyber-crime/ajax-security-team-iran.html,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
